Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,,1,1,0.7,2.2,50.7,52.2,SALI,Lunania parviflora,A,13.8,1.3,I,,13,1.3,I,,10.2,,
2009,,1,2,7.4,0.6,57.4,50.6,ELAE,Sloanea fragrans,A,10.7,,,,13.8,1.3,I,,12.8,,
2009,2014,1,3,5.5,4,55,54,MORA,Poulsenia armata,,,,,,,,M,,16.6,,
2009,2020,1,4,4,9.1,54,59.1,FABA,"inga ""3 pairs triangle wings""",D,,,MUE,,33.5,1.6,,,31,1.6,flowering
2009,,1,5,5,12,55,62,MORA,ficus cf trigona,A,32.1,2,,,22.7,2,,,19.4,2,prop roots!
2009,,1,6,10,12.5,60,62.5,AREC,Iriartea deltoidea,A,NM,1.9,,Zancos altos ,24,1.9,,,24.2,1.9,
2009,,1,7,13,14.6,63,64.6,MYRI,Otoba parvifolia,A,26.2,1.3,,,24.5,1.3,,,23.6,,
2009,,1,8,13.5,17,63.5,67,EUPH,Hura crepitans,A,115,1.6,,Estimado,112.8,1.6,,,113,1.6,
2009,2014,1,9,5.5,15.5,56,66,MORA,Poulsenia armata,,,,,,,,MU,,15.8,,
2009,,1,10,11.7,20,61.7,70,MALV,"Quararibea ""narrow oblong""",A,21.7,1.3,,,20.3,1.3,,,20.1,,
2009,,1,11,13.3,20.5,63.3,70.5,MYRI,Otoba parvifolia,A,18,1.3,,,16.3,1.3,,,16.2,,
2009,2020,1,12,15.6,20.5,65.6,70.5,MORA,ficus cf trigona,D,,,MUE,,50,4,,one of multiple trunks,50,4,one of multiple trunks
2009,2020,1,13,16.5,20.5,66.5,70.5,ANNO,Unonopsis floribunda,D,,,MUE,,19.5,1.3,,,19.2,,
2009,2020,1,14,18.5,23.5,68.5,73.5,URTI,Pourouma minor,D,,,MD,,19.3,1.3,,,19.4,,
2009,2020,1,15,20,18,70,68,AREC,Iriartea deltoidea,D,,,MPQ,,26.3,1.3,,,25.9,,
